Host,Total Queries,Success,Failure,Avg Latency (ms),Throughput (bps)
10.0.0.1,100,71,29,343.7973,1207.3277
10.0.0.2,100,67,33,397.6978,1136.2505
10.0.0.3,100,72,28,390.4873,1206.1275
10.0.0.4,100,73,27,359.3576,1398.4003
