Host,Total Queries,Success,Failure,Avg Latency (ms),Throughput (bps)
H1,100,61,39,4317.3813,55.7400
H2,100,59,41,4328.1449,51.6434
H3,100,67,33,4725.2583,60.7633
H4,100,70,30,4898.3939,64.9722
